
Lista de Imoveis da Caixa;;Data de geracao:;26/06/2026;;;;;;
N do imovel;UF;Cidade;Bairro;Endereco;Preco;Valor de avaliacao;Desconto;Financiamento;Descricao;Modalidade de venda;Link de acesso
1444420107242;SC;BLUMENAU;ITOUPAVA NORTE;RUA 25 DE AGOSTO, N. 531, Apto 304,;200754;315000;36.27;Nao;Apartamento, 83.84 de área total, 73.98 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444420107242
8787713428990;SC;BLUMENAU;ITOUPAVA CENTRAL;RUA RUDOLFO WALTER, N. 1449, Apto 304, BL 22 RES BENDORF BOX 462;230000;220000;0;Nao;Apartamento, 59.38 de área total, 38.40 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787713428990
8787715371715;SC;BLUMENAU;BADENFURT;RUA HEINRICH HEMMER, N. 1836, Apto 406, TORRE 02 BOX 41;260000;248000;0;Nao;Apartamento, 58.93 de área total, 44.35 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715371715
8787712210028;SC;BLUMENAU;SALTO DO NORTE;RUA ELSBETH FEDDERSEN, N. 565, Apto 107, PAV 01 BL02;260000;235000;0;Nao;Apartamento, 72.45 de área total, 49.84 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712210028
8787712543400;SC;BLUMENAU;SALTO DO NORTE;RUA ELSBETH FEDDERSEN, N. 565, Apto 508, PAV 04 BL 02;300000;265000;0;Nao;Apartamento, 62.32 de área total, 50.57 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712543400
1787701972004;SC;BLUMENAU;ITOUPAVA CENTRAL;RUA GUSTAVO ZIMMERMANN, N. 5095, Apto 1208, BL C;300000;260000;0;Nao;Apartamento, 73.07 de área total, 44.28 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787701972004
8787711956972;SC;BLUMENAU;ITOUPAVA CENTRAL;RUA GUSTAVO ZIMMERMANN, N. 5095, Apto 902, PAV 09 BL A;300000;260000;0;Nao;Apartamento, 73.79 de área total, 44.28 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711956972
8787711960791;SC;BLUMENAU;ITOUPAVA CENTRAL;RUA GUSTAVO ZIMMERMANN, N. 5095, Apto 304, PAV 3 BL A;300000;245000;0;Nao;Apartamento, 62.36 de área total, 45.40 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711960791
8787713898937;SC;BLUMENAU;ITOUPAVA CENTRAL;RUA GUSTAVO ZIMMERMANN, N. 5095, Apto 608, BL B;300000;245000;0;Nao;Apartamento, 60.83 de área total, 44.28 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787713898937
8787716162702;SC;BLUMENAU;ITOUPAVA CENTRAL;RUA GUSTAVO ZIMMERMANN, N. 5095, Apto 403, BL C BOX 56;300000;245000;0;Nao;Apartamento, 0.00 de área total, 45.02 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716162702
8787713038474;SC;BLUMENAU;ITOUPAVA CENTRAL;RUA GUSTAVO ZIMMERMANN, N. 5095, Apto 202, PAV 02 BL B VG 98;300000;210000;0;Nao;Apartamento, 71.87 de área total, 44.28 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787713038474
1555525723727;SC;BOM JESUS DO OESTE;CENTRO;RUA PADRE DARCI ESQUINA COMA RUA IRMÃO AMBRÓSIO, N. 235,;506664.87;795000;36.27;Sim;Casa, 0.00 de área total, 251.71 de área privativa, 400.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555525723727
1444415815684;SC;BRUSQUE;CENTRO I;PRACA BARAO DE SCHNEEBURG, N. 39, Apto 102,;510488.75;801000;36.27;Sim;Apartamento, 156.86 de área total, 150.00 de área privativa, 0.00 de área do terreno, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444415815684
8444418642762;SC;CAPINZAL;Sao Cristovao;RUA JOÃO NELVIO SAVI, N. 638, QD 348 LT 22;300000;275000;0;Nao;Casa, 53.64 de área total, 53.64 de área privativa, 364.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444418642762
1444416932129;SC;CAPIVARI DE BAIXO;LOT NOVA SANTA LUCIA;PROJETADA E, N. SN, LT 07 QD 07;177248.5;121500;0;Nao;Terreno, 0.00 de área total, 0.00 de área privativa, 300.19 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444416932129
8444418822426;SC;CHAPECO;MARECHALL BORMANN;RUA AUGUSTA PRETTO, N. 16, LT 01, QD 4932,;208600;208600;0;Nao;Casa, 0.00 de área total, 46.80 de área privativa, 197.75 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444418822426
1787701804330;SC;CHAPECO;PALMITAL;RUA ASSIS PROCOPIO DOS SANTOS, N. 89D, Apto 310, VAGA DE GARAGEM 25 LT 14 QD 1569;412000;412000;0;Nao;Apartamento, 83.97 de área total, 55.82 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787701804330
8787705371062;SC;CHAPECO;SANTO ANTONIO;RUA IVETE MARIA CUNICO, N. 260D, Apto 402, BL D BOX 29;267000;267000;0;Nao;Apartamento, 77.13 de área total, 55.54 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787705371062
8787700367032;SC;CHAPECO;BOM PASTOR;RUA JOAO GOULART, N. 187E, Apto 403, BL 03;350000;350000;0;Nao;Apartamento, 78.23 de área total, 54.91 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787700367032
1444420365799;SC;CHAPECO;ARARAS;RUA ANTONIO POLETTO, N. 146-D, LT 14 QD 4.941;317000;317000;0;Nao;Casa, 60.00 de área total, 60.00 de área privativa, 60.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444420365799
8444425956394;SC;CHAPECO;VEDERTI;RUA ADRIANO GRACIANI, N. 89E, L10 QD 5212;448518.64;448518.64;0;Nao;Casa, 90.00 de área total, 90.00 de área privativa, 360.00 de área do terreno,  4 qto(s), WC, 2 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425956394
8444435683439;SC;CHAPECO;SEMINARIO;RUA CANARIOS DA TERRA, N. 468D, Apto 102, BL 31 LT 01 QD 4417;224626.38;200000;0;Nao;Apartamento, 45.58 de área total, 43.95 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444435683439
10003975;SC;COCAL DO SUL;CENTRO;AVENIDA DOUTOR POLIDORO SANTIAGO, N. 482, 40M DA R. RUI BARBOSA PARTE LTS 163, 1;424900;375000;0;Nao;Terreno, 0.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10003975
8444415733503;SC;CORONEL FREITAS;HABITACIONAL;RUA SAO PAULO, N. 341, Apto 301B, BL B;123602.56;204500;39.56;Nao;Apartamento, 67.92 de área total, 52.26 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444415733503
8555526249318;SC;CORONEL FREITAS;CENTRO;RUA ODILA ZAMARCHI GRANDO, N. SN, LT 31 QD 566;176600;176600;0;Nao;Casa, 52.15 de área total, 52.15 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555526249318
